slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
10b,3.0,5.0,1897122462.433142,32112.520895725287,1897090349.9122465,11.676624536514282,openmm_minimized
11,4.0,6.0,429962604859.2301,29236.377935881777,429962575622.8522,10.866197109222412,openmm_minimized
5b,6.0,6.0,102212.7259024514,11912.850451572578,90299.87545087884,9.167311191558838,openmm_minimized
6c,5.0,7.0,60593.18389698694,11640.319322039948,48952.864574946994,10.401644468307495,openmm_minimized
a1a,6.0,8.0,330566.75020354503,13435.052960097177,317131.6972434479,10.020123720169067,openmm_minimized
aacucp,4.0,8.0,56733.92755475619,10284.2783023328,46449.64925242339,12.478394031524658,openmm_minimized
aacugfp1,4.0,10.0,95615.06813269317,17992.33069727038,77622.73743542278,13.172893285751345,openmm_minimized
aacugfp2,4.0,8.0,427718.4453268889,14503.59596515294,413214.8493617359,11.837403297424316,openmm_minimized
aausfp1,8.0,10.0,103193.69160272108,13359.7355169664,89833.95608575467,11.102030277252195,openmm_minimized
aausfp2,12.0,17.0,-695052.8863345569,11261.246666178144,-706314.133000735,11.511918067932127,openmm_minimized
aausfp3,6.0,5.0,397923.7400479356,10549.53746930219,387374.20257863344,12.276311874389648,openmm_minimized
aausfp4,8.0,10.0,263825.1908083677,10773.404253128154,253051.78655523952,12.859689235687256,openmm_minimized
aausgfp,4.0,5.0,661392.4652579828,12178.926523125889,649213.538734857,12.309344053268433,openmm_minimized
acanfp,3.0,6.0,705307.0925101333,11523.229271710885,693783.8632384224,10.700346231460571,openmm_minimized
acegfp-g222e-y220l,9.0,10.0,784869402176.2251,13548.774745041472,784869388627.4503,13.43299436569214,openmm_minimized
acegfp-h,7.0,7.0,76294.06028830918,11750.42903293604,64543.63125537314,13.252055406570436,openmm_minimized
acgfp1,6.0,7.0,58330.60882823357,12394.771006670386,45935.83782156318,11.625175952911375,openmm_minimized
achilles,7.0,6.0,55365.16662632556,10824.438944767116,44540.72768155845,11.9631667137146,openmm_minimized
adred-c148s,10.0,13.0,-6263847.492108847,13561.23158727064,-6277408.723696117,13.987156629562378,openmm_minimized
aeblue,9.0,12.0,659318.4506749543,13461.541286553324,645856.909388401,11.57159423828125,openmm_minimized
aeurgfp,4.0,6.0,67349.30279553284,14604.666779405174,52744.63601612767,13.67424178123474,openmm_minimized
afcfp,5.0,9.0,71253.13542516845,9802.16246484689,61450.97296032157,11.55576229095459,openmm_minimized
afragfp,6.0,8.0,72446.33519092327,10532.364060714444,61913.97113020883,12.706326246261597,openmm_minimized
ahyacp,7.0,12.0,168347.2156673777,10646.467613648918,157700.74805372878,13.445934772491457,openmm_minimized
alajgfp1,5.0,8.0,98859.07650795096,10826.7756235139,88032.30088443708,12.575740814208984,openmm_minimized
alajgfp2,5.0,8.0,124597.4049763294,11516.942938013846,113080.46203831554,11.72362208366394,openmm_minimized
alajgfp3,6.0,9.0,152161.28453012803,10250.612273088323,141910.6722570397,12.807061433792114,openmm_minimized
alphagfp,6.0,5.0,51041.74485623417,10511.765719184114,40529.97913705005,13.63335633277893,openmm_minimized
amcyan1,4.0,8.0,857331.5055896046,14510.816951830351,842820.6886377742,11.760881662368774,openmm_minimized
amfp495,6.0,5.0,5029795.989128925,14581.78265193518,5015214.20647699,11.555376768112184,openmm_minimized
amilcp-orange,4.0,8.0,81702.85021236849,12848.49554331369,68854.3546690548,12.386572360992432,openmm_minimized
amilcp-pink,9.0,11.0,79621.58235954895,12832.130723231448,66789.4516363175,12.585136890411375,openmm_minimized
amilcp580,7.0,9.0,50260.11687969944,11655.118777264635,38604.9981024348,11.756888389587402,openmm_minimized
amilcp586,4.0,7.0,49893.07034982296,10862.031904289332,39031.038445533624,11.074293613433838,openmm_minimized
amilcp604,4.0,9.0,44026.84043994809,12070.607289569916,31956.233150378175,11.281215906143188,openmm_minimized
amilfp484,6.0,10.0,119783.74890900576,15266.201992945777,104517.54691606,13.28794240951538,openmm_minimized
amilfp490,5.0,10.0,283194.2021932564,15081.888428887683,268112.3137643687,13.784266233444214,openmm_minimized
