metric,value
n_structures,751.0
clashes_before_mean,6.91
clashes_before_median,6.0
clashes_after_mean,8.87
clashes_after_median,8.0
clashes_after_max,27.0
clashes_reduced_count,112.0
clashes_unchanged_count,103.0
clashes_increased_count,536.0
energy_after_mean_kJ,12190.2
energy_after_median_kJ,11841.9
energy_after_min_kJ,780.5
energy_after_max_kJ,48606.5
energy_drop_median_kJ,74279.4
time_s_mean,12.49
time_total_hours,2.61
outliers_high_energy_gt_30k,9.0
n_openmm_minimized,751.0
n_rcsb_experimental,162.0
n_cofactor_excluded,59.0
n_total_combined,913.0
