target,subset,scheme,pooled_mae,r,n_eval
qy,A_onehot,random,0.126157,0.74688,637
qy,A_onehot,90,0.195041,0.429188,637
qy,A_onehot,70,0.20057,0.408307,637
qy,A_onehot,50,0.233803,0.155623,637
qy,B_lora,random,0.066787,0.932039,637
qy,B_lora,90,0.073277,0.926216,637
qy,B_lora,70,0.078499,0.921697,637
qy,B_lora,50,0.08163,0.916818,637
ext_coeff,A_onehot,random,18739.606331,0.700607,572
ext_coeff,A_onehot,90,30396.097228,0.381359,572
ext_coeff,A_onehot,70,38691.154382,0.155026,572
ext_coeff,A_onehot,50,41434.866054,0.137872,572
ext_coeff,B_lora,random,7591.314873,0.957591,572
ext_coeff,B_lora,90,8763.991093,0.952886,572
ext_coeff,B_lora,70,8354.592039,0.9532,572
ext_coeff,B_lora,50,9014.881216,0.94742,572
pka,A_onehot,random,0.738373,0.475241,371
pka,A_onehot,90,0.850019,0.266066,371
pka,A_onehot,70,0.895896,0.184447,371
pka,A_onehot,50,0.939682,0.131324,371
pka,B_lora,random,0.32481,0.879469,371
pka,B_lora,90,0.317164,0.897086,371
pka,B_lora,70,0.351608,0.882594,371
pka,B_lora,50,0.408899,0.86728,371
brightness,A_onehot,random,13.447291,0.704634,547
brightness,A_onehot,90,24.160438,0.468527,547
brightness,A_onehot,70,27.949436,0.357114,547
brightness,A_onehot,50,31.317212,0.178433,547
brightness,B_lora,random,6.273539,0.940921,547
brightness,B_lora,90,7.462909,0.929487,547
brightness,B_lora,70,7.385134,0.936802,547
brightness,B_lora,50,8.244014,0.92268,547
